Title,Video_URL,Views
Lehanga : Jass Manak (Official Video) Satti Dhillon - Punjabi Song - GK Digital - Geet MP3,https://www.youtube.com/watch?v=RKioDWlajvo,1766303984
"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D'Souza | Bhushan Kumar | Radhika R, Vinay S",https://www.youtube.com/watch?v=BBAyRBTfsOU,1644735931
"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018",https://www.youtube.com/watch?v=YpkJO_GrCo0,1580443408
"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay",https://www.youtube.com/watch?v=sCbbMZ-q4-I,1454609573
"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka",https://www.youtube.com/watch?v=JFcgOboQZ08,1397968673
Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever | Gaurav Jang,https://www.youtube.com/watch?v=N2-HsIYd0Go,1355834460
"Cham Cham Full Video | BAAGHI | Tiger Shroff, Shraddha Kapoor| Meet Bros, Monali Thakur| Sabbir Khan",https://www.youtube.com/watch?v=f6vY6tYvKGA,1299979083
"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika Singh,Neha,Kumar S",https://www.youtube.com/watch?v=vu5-aKf_QqA,1254354982
Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T-Series,https://www.youtube.com/watch?v=hjWf8A0YNSE,1248365768
"Tujh Mein Rab Dikhta Hai Song | Rab Ne Bana Di Jodi | Shah Rukh Khan, Anushka Sharma | Roop Kumar",https://www.youtube.com/watch?v=qoq8B8ThgEM,1229128772
Bom Diggy Diggy  (VIDEO) | Zack Knight | Jasmin Walia | Sonu Ke Titu Ki Sweety,https://www.youtube.com/watch?v=yIIGQB6EMAM,1204599804
Dil Laga Liya - Full Video | Dil Hai Tumhaara | Preity & Arjun Rampal | Alka Yagnik & Udit Narayan,https://www.youtube.com/watch?v=6qBdQzPnw4E,1164981323
FILHALL | Akshay Kumar Ft Nupur Sanon | BPraak | Jaani | Arvindr Khaira | Ammy Virk | DESI MELODIES,https://www.youtube.com/watch?v=hMy5za-m5Ew,1159277830
"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh",https://www.youtube.com/watch?v=hoNb6HuNmU0,1124185653
Guru Randhawa: Lahore (Official Video) Bhushan Kumar | Vee | DirectorGifty | T-Series,https://www.youtube.com/watch?v=dZ0fwJojhrs,1118137456
"Jhoome Jo Pathaan Song | Shah Rukh Khan, Deepika | Vishal & Sheykhar, Arijit Singh, Sukriti, Kumaar",https://www.youtube.com/watch?v=YxWlaYCA8MU,1094491359
"Phir Bhi Tumko Chaahunga - Full Song | Arijit Singh | Arjun K & Shraddha K | Mithoon, Manoj M",https://www.youtube.com/watch?v=_iktURk0X-A,1067231169
Official Video: Humnava Mere Song | Jubin Nautiyal | Manoj Muntashir | Rocky - Shiv | Bhushan Kumar,https://www.youtube.com/watch?v=TmRgK-pXH9c,1059432167
"Kala Chashma | Baar Baar Dekho | Sidharth M Katrina K | Prem, Hardeep, Badshah, Kam, Neha, Indeep",https://www.youtube.com/watch?v=k4yXQkG2s1E,1054029614
"Lyrical: Tum Hi Aana | Marjaavaan | Riteish D, Sidharth M, Tara S |Jubin Nautiyal,Payal Dev,Kunaal V",https://www.youtube.com/watch?v=tLqtnGLfm4Q,1027502494
